company,total_rows,column,null_count,null_pct
ALL,4901074,IPRD_ID,0,0
ALL,4901074,DECL_IS_PROP_FLAG,0,0
ALL,4901074,LICD_REC_CONDI_FLAG,1155209,23.57
ALL,4901074,DIPG_ID,0,0
ALL,4901074,DIPG_PATF_ID,181387,3.7
ALL,4901074,PUBL_NUMBER,579726,11.83
ALL,4901074,PATT_APPLICATION_NUMBER,41169,0.84
ALL,4901074,COMP_LEGAL_NAME,222,0
ALL,4901074,company_key,222,0
ALL,4901074,Country_Of_Registration,1933,0.04
ALL,4901074,country_key,1933,0.04
ALL,4901074,IPRD_SIGNATURE_DATE,0,0
ALL,4901074,Reflected_Date,0,0
ALL,4901074,PBPA_APP_DATE,237768,4.85
ALL,4901074,TGPP_NUMBER,681969,13.91
ALL,4901074,TGPV_VERSION,3610625,73.67
ALL,4901074,Standard,191849,3.91
ALL,4901074,Patent_Type,143,0
ALL,4901074,Gen_2G,709111,14.47
ALL,4901074,Gen_3G,709111,14.47
ALL,4901074,Gen_4G,709111,14.47
ALL,4901074,Gen_5G,709111,14.47
ALL,4901074,Ess_To_Standard,191849,3.91
ALL,4901074,Ess_To_Project,97204,1.98
ALL,4901074,PBPA_TITLEEN,1266447,25.84
ALL,4901074,PBPA_PRIORITY_NUMBERS,241732,4.93
ALL,4901074,Illustrative_Part,4100531,83.67
ALL,4901074,Explicitely_Disclosed,143,0
ALL,4901074,Normalized_Patent,0,0
ALL,4901074,__src_rownum,0,0
Ericsson,84944,IPRD_ID,0,0
Ericsson,84944,DECL_IS_PROP_FLAG,0,0
Ericsson,84944,LICD_REC_CONDI_FLAG,29455,34.68
Ericsson,84944,DIPG_ID,0,0
Ericsson,84944,DIPG_PATF_ID,6905,8.13
Ericsson,84944,PUBL_NUMBER,16171,19.04
Ericsson,84944,PATT_APPLICATION_NUMBER,3312,3.9
Ericsson,84944,COMP_LEGAL_NAME,0,0
Ericsson,84944,company_key,0,0
Ericsson,84944,Country_Of_Registration,84,0.1
Ericsson,84944,country_key,84,0.1
Ericsson,84944,IPRD_SIGNATURE_DATE,0,0
Ericsson,84944,Reflected_Date,0,0
Ericsson,84944,PBPA_APP_DATE,11123,13.09
Ericsson,84944,TGPP_NUMBER,29447,34.67
Ericsson,84944,TGPV_VERSION,45158,53.16
Ericsson,84944,Standard,26964,31.74
Ericsson,84944,Patent_Type,0,0
Ericsson,84944,Gen_2G,29508,34.74
Ericsson,84944,Gen_3G,29508,34.74
Ericsson,84944,Gen_4G,29508,34.74
Ericsson,84944,Gen_5G,29508,34.74
Ericsson,84944,Ess_To_Standard,26964,31.74
Ericsson,84944,Ess_To_Project,19,0.02
Ericsson,84944,PBPA_TITLEEN,28325,33.35
Ericsson,84944,PBPA_PRIORITY_NUMBERS,11171,13.15
Ericsson,84944,Illustrative_Part,55169,64.95
Ericsson,84944,Explicitely_Disclosed,0,0
Ericsson,84944,Normalized_Patent,0,0
Ericsson,84944,__src_rownum,0,0
Fujitsu,15418,IPRD_ID,0,0
Fujitsu,15418,DECL_IS_PROP_FLAG,0,0
Fujitsu,15418,LICD_REC_CONDI_FLAG,0,0
Fujitsu,15418,DIPG_ID,0,0
Fujitsu,15418,DIPG_PATF_ID,426,2.76
Fujitsu,15418,PUBL_NUMBER,3740,24.26
Fujitsu,15418,PATT_APPLICATION_NUMBER,106,0.69
Fujitsu,15418,COMP_LEGAL_NAME,0,0
Fujitsu,15418,company_key,0,0
Fujitsu,15418,Country_Of_Registration,15,0.1
Fujitsu,15418,country_key,15,0.1
Fujitsu,15418,IPRD_SIGNATURE_DATE,0,0
Fujitsu,15418,Reflected_Date,0,0
Fujitsu,15418,PBPA_APP_DATE,1281,8.31
Fujitsu,15418,TGPP_NUMBER,127,0.82
Fujitsu,15418,TGPV_VERSION,129,0.84
Fujitsu,15418,Standard,121,0.78
Fujitsu,15418,Patent_Type,0,0
Fujitsu,15418,Gen_2G,127,0.82
Fujitsu,15418,Gen_3G,127,0.82
Fujitsu,15418,Gen_4G,127,0.82
Fujitsu,15418,Gen_5G,127,0.82
Fujitsu,15418,Ess_To_Standard,121,0.78
Fujitsu,15418,Ess_To_Project,0,0
Fujitsu,15418,PBPA_TITLEEN,3629,23.54
Fujitsu,15418,PBPA_PRIORITY_NUMBERS,1281,8.31
Fujitsu,15418,Illustrative_Part,179,1.16
Fujitsu,15418,Explicitely_Disclosed,0,0
Fujitsu,15418,Normalized_Patent,0,0
Fujitsu,15418,__src_rownum,0,0
Huawei,247581,IPRD_ID,0,0
Huawei,247581,DECL_IS_PROP_FLAG,0,0
Huawei,247581,LICD_REC_CONDI_FLAG,955,0.39
Huawei,247581,DIPG_ID,0,0
Huawei,247581,DIPG_PATF_ID,22391,9.04
Huawei,247581,PUBL_NUMBER,30372,12.27
Huawei,247581,PATT_APPLICATION_NUMBER,170,0.07
Huawei,247581,COMP_LEGAL_NAME,0,0
Huawei,247581,company_key,0,0
Huawei,247581,Country_Of_Registration,317,0.13
Huawei,247581,country_key,317,0.13
Huawei,247581,IPRD_SIGNATURE_DATE,0,0
Huawei,247581,Reflected_Date,0,0
Huawei,247581,PBPA_APP_DATE,21520,8.69
Huawei,247581,TGPP_NUMBER,5599,2.26
Huawei,247581,TGPV_VERSION,247103,99.81
Huawei,247581,Standard,193,0.08
Huawei,247581,Patent_Type,48,0.02
Huawei,247581,Gen_2G,5652,2.28
Huawei,247581,Gen_3G,5652,2.28
Huawei,247581,Gen_4G,5652,2.28
Huawei,247581,Gen_5G,5652,2.28
Huawei,247581,Ess_To_Standard,193,0.08
Huawei,247581,Ess_To_Project,785,0.32
Huawei,247581,PBPA_TITLEEN,39082,15.79
Huawei,247581,PBPA_PRIORITY_NUMBERS,21671,8.75
Huawei,247581,Illustrative_Part,247218,99.85
Huawei,247581,Explicitely_Disclosed,48,0.02
Huawei,247581,Normalized_Patent,0,0
Huawei,247581,__src_rownum,0,0
Kyocera,8420,IPRD_ID,0,0
Kyocera,8420,DECL_IS_PROP_FLAG,0,0
Kyocera,8420,LICD_REC_CONDI_FLAG,0,0
Kyocera,8420,DIPG_ID,0,0
Kyocera,8420,DIPG_PATF_ID,717,8.52
Kyocera,8420,PUBL_NUMBER,487,5.78
Kyocera,8420,PATT_APPLICATION_NUMBER,0,0
Kyocera,8420,COMP_LEGAL_NAME,0,0
Kyocera,8420,company_key,0,0
Kyocera,8420,Country_Of_Registration,4,0.05
Kyocera,8420,country_key,4,0.05
Kyocera,8420,IPRD_SIGNATURE_DATE,0,0
Kyocera,8420,Reflected_Date,0,0
Kyocera,8420,PBPA_APP_DATE,430,5.11
Kyocera,8420,TGPP_NUMBER,0,0
Kyocera,8420,TGPV_VERSION,7161,85.05
Kyocera,8420,Standard,0,0
Kyocera,8420,Patent_Type,0,0
Kyocera,8420,Gen_2G,0,0
Kyocera,8420,Gen_3G,0,0
Kyocera,8420,Gen_4G,0,0
Kyocera,8420,Gen_5G,0,0
Kyocera,8420,Ess_To_Standard,0,0
Kyocera,8420,Ess_To_Project,0,0
Kyocera,8420,PBPA_TITLEEN,1601,19.01
Kyocera,8420,PBPA_PRIORITY_NUMBERS,430,5.11
Kyocera,8420,Illustrative_Part,8318,98.79
Kyocera,8420,Explicitely_Disclosed,0,0
Kyocera,8420,Normalized_Patent,0,0
Kyocera,8420,__src_rownum,0,0
LG_Electronics,236521,IPRD_ID,0,0
LG_Electronics,236521,DECL_IS_PROP_FLAG,0,0
LG_Electronics,236521,LICD_REC_CONDI_FLAG,107188,45.32
LG_Electronics,236521,DIPG_ID,0,0
LG_Electronics,236521,DIPG_PATF_ID,16049,6.79
LG_Electronics,236521,PUBL_NUMBER,24246,10.25
LG_Electronics,236521,PATT_APPLICATION_NUMBER,244,0.1
LG_Electronics,236521,COMP_LEGAL_NAME,0,0
LG_Electronics,236521,company_key,0,0
LG_Electronics,236521,Country_Of_Registration,43,0.02
LG_Electronics,236521,country_key,43,0.02
LG_Electronics,236521,IPRD_SIGNATURE_DATE,0,0
LG_Electronics,236521,Reflected_Date,0,0
LG_Electronics,236521,PBPA_APP_DATE,16314,6.9
LG_Electronics,236521,TGPP_NUMBER,5695,2.41
LG_Electronics,236521,TGPV_VERSION,211348,89.36
LG_Electronics,236521,Standard,208,0.09
LG_Electronics,236521,Patent_Type,10,0
LG_Electronics,236521,Gen_2G,28732,12.15
LG_Electronics,236521,Gen_3G,28732,12.15
LG_Electronics,236521,Gen_4G,28732,12.15
LG_Electronics,236521,Gen_5G,28732,12.15
LG_Electronics,236521,Ess_To_Standard,208,0.09
LG_Electronics,236521,Ess_To_Project,276,0.12
LG_Electronics,236521,PBPA_TITLEEN,29886,12.64
LG_Electronics,236521,PBPA_PRIORITY_NUMBERS,16314,6.9
LG_Electronics,236521,Illustrative_Part,209892,88.74
LG_Electronics,236521,Explicitely_Disclosed,10,0
LG_Electronics,236521,Normalized_Patent,0,0
LG_Electronics,236521,__src_rownum,0,0
NEC,38650,IPRD_ID,0,0
NEC,38650,DECL_IS_PROP_FLAG,0,0
NEC,38650,LICD_REC_CONDI_FLAG,0,0
NEC,38650,DIPG_ID,0,0
NEC,38650,DIPG_PATF_ID,952,2.46
NEC,38650,PUBL_NUMBER,2239,5.79
NEC,38650,PATT_APPLICATION_NUMBER,65,0.17
NEC,38650,COMP_LEGAL_NAME,0,0
NEC,38650,company_key,0,0
NEC,38650,Country_Of_Registration,8,0.02
NEC,38650,country_key,8,0.02
NEC,38650,IPRD_SIGNATURE_DATE,0,0
NEC,38650,Reflected_Date,0,0
NEC,38650,PBPA_APP_DATE,1641,4.25
NEC,38650,TGPP_NUMBER,2093,5.42
NEC,38650,TGPV_VERSION,6410,16.58
NEC,38650,Standard,11,0.03
NEC,38650,Patent_Type,2,0.01
NEC,38650,Gen_2G,2093,5.42
NEC,38650,Gen_3G,2093,5.42
NEC,38650,Gen_4G,2093,5.42
NEC,38650,Gen_5G,2093,5.42
NEC,38650,Ess_To_Standard,11,0.03
NEC,38650,Ess_To_Project,2,0.01
NEC,38650,PBPA_TITLEEN,7018,18.16
NEC,38650,PBPA_PRIORITY_NUMBERS,1641,4.25
NEC,38650,Illustrative_Part,4259,11.02
NEC,38650,Explicitely_Disclosed,2,0.01
NEC,38650,Normalized_Patent,0,0
NEC,38650,__src_rownum,0,0
Nokia,207944,IPRD_ID,0,0
Nokia,207944,DECL_IS_PROP_FLAG,0,0
Nokia,207944,LICD_REC_CONDI_FLAG,100632,48.39
Nokia,207944,DIPG_ID,0,0
Nokia,207944,DIPG_PATF_ID,3972,1.91
Nokia,207944,PUBL_NUMBER,31648,15.22
Nokia,207944,PATT_APPLICATION_NUMBER,2461,1.18
Nokia,207944,COMP_LEGAL_NAME,0,0
Nokia,207944,company_key,0,0
Nokia,207944,Country_Of_Registration,73,0.04
Nokia,207944,country_key,73,0.04
Nokia,207944,IPRD_SIGNATURE_DATE,0,0
Nokia,207944,Reflected_Date,0,0
Nokia,207944,PBPA_APP_DATE,5336,2.57
Nokia,207944,TGPP_NUMBER,36843,17.72
Nokia,207944,TGPV_VERSION,112007,53.86
Nokia,207944,Standard,18370,8.83
Nokia,207944,Patent_Type,22,0.01
Nokia,207944,Gen_2G,37151,17.87
Nokia,207944,Gen_3G,37151,17.87
Nokia,207944,Gen_4G,37151,17.87
Nokia,207944,Gen_5G,37151,17.87
Nokia,207944,Ess_To_Standard,18370,8.83
Nokia,207944,Ess_To_Project,232,0.11
Nokia,207944,PBPA_TITLEEN,68917,33.14
Nokia,207944,PBPA_PRIORITY_NUMBERS,5337,2.57
Nokia,207944,Illustrative_Part,152540,73.36
Nokia,207944,Explicitely_Disclosed,22,0.01
Nokia,207944,Normalized_Patent,0,0
Nokia,207944,__src_rownum,0,0
NTT_Docomo,45742,IPRD_ID,0,0
NTT_Docomo,45742,DECL_IS_PROP_FLAG,0,0
NTT_Docomo,45742,LICD_REC_CONDI_FLAG,0,0
NTT_Docomo,45742,DIPG_ID,0,0
NTT_Docomo,45742,DIPG_PATF_ID,842,1.84
NTT_Docomo,45742,PUBL_NUMBER,3083,6.74
NTT_Docomo,45742,PATT_APPLICATION_NUMBER,486,1.06
NTT_Docomo,45742,COMP_LEGAL_NAME,0,0
NTT_Docomo,45742,company_key,0,0
NTT_Docomo,45742,Country_Of_Registration,1,0
NTT_Docomo,45742,country_key,1,0
NTT_Docomo,45742,IPRD_SIGNATURE_DATE,0,0
NTT_Docomo,45742,Reflected_Date,0,0
NTT_Docomo,45742,PBPA_APP_DATE,900,1.97
NTT_Docomo,45742,TGPP_NUMBER,369,0.81
NTT_Docomo,45742,TGPV_VERSION,437,0.96
NTT_Docomo,45742,Standard,233,0.51
NTT_Docomo,45742,Patent_Type,1,0
NTT_Docomo,45742,Gen_2G,385,0.84
NTT_Docomo,45742,Gen_3G,385,0.84
NTT_Docomo,45742,Gen_4G,385,0.84
NTT_Docomo,45742,Gen_5G,385,0.84
NTT_Docomo,45742,Ess_To_Standard,233,0.51
NTT_Docomo,45742,Ess_To_Project,1201,2.63
NTT_Docomo,45742,PBPA_TITLEEN,7886,17.24
NTT_Docomo,45742,PBPA_PRIORITY_NUMBERS,900,1.97
NTT_Docomo,45742,Illustrative_Part,15675,34.27
NTT_Docomo,45742,Explicitely_Disclosed,1,0
NTT_Docomo,45742,Normalized_Patent,0,0
NTT_Docomo,45742,__src_rownum,0,0
Panasonic,42668,IPRD_ID,0,0
Panasonic,42668,DECL_IS_PROP_FLAG,0,0
Panasonic,42668,LICD_REC_CONDI_FLAG,2545,5.96
Panasonic,42668,DIPG_ID,0,0
Panasonic,42668,DIPG_PATF_ID,389,0.91
Panasonic,42668,PUBL_NUMBER,4182,9.8
Panasonic,42668,PATT_APPLICATION_NUMBER,15,0.04
Panasonic,42668,COMP_LEGAL_NAME,0,0
Panasonic,42668,company_key,0,0
Panasonic,42668,Country_Of_Registration,0,0
Panasonic,42668,country_key,0,0
Panasonic,42668,IPRD_SIGNATURE_DATE,0,0
Panasonic,42668,Reflected_Date,0,0
Panasonic,42668,PBPA_APP_DATE,2002,4.69
Panasonic,42668,TGPP_NUMBER,1,0
Panasonic,42668,TGPV_VERSION,11050,25.9
Panasonic,42668,Standard,0,0
Panasonic,42668,Patent_Type,0,0
Panasonic,42668,Gen_2G,1,0
Panasonic,42668,Gen_3G,1,0
Panasonic,42668,Gen_4G,1,0
Panasonic,42668,Gen_5G,1,0
Panasonic,42668,Ess_To_Standard,0,0
Panasonic,42668,Ess_To_Project,94,0.22
Panasonic,42668,PBPA_TITLEEN,12478,29.24
Panasonic,42668,PBPA_PRIORITY_NUMBERS,2002,4.69
Panasonic,42668,Illustrative_Part,40705,95.4
Panasonic,42668,Explicitely_Disclosed,0,0
Panasonic,42668,Normalized_Patent,0,0
Panasonic,42668,__src_rownum,0,0
Qualcomm,887871,IPRD_ID,0,0
Qualcomm,887871,DECL_IS_PROP_FLAG,0,0
Qualcomm,887871,LICD_REC_CONDI_FLAG,516863,58.21
Qualcomm,887871,DIPG_ID,0,0
Qualcomm,887871,DIPG_PATF_ID,23587,2.66
Qualcomm,887871,PUBL_NUMBER,146618,16.51
Qualcomm,887871,PATT_APPLICATION_NUMBER,6211,0.7
Qualcomm,887871,COMP_LEGAL_NAME,0,0
Qualcomm,887871,company_key,0,0
Qualcomm,887871,Country_Of_Registration,171,0.02
Qualcomm,887871,country_key,171,0.02
Qualcomm,887871,IPRD_SIGNATURE_DATE,0,0
Qualcomm,887871,Reflected_Date,0,0
Qualcomm,887871,PBPA_APP_DATE,51631,5.82
Qualcomm,887871,TGPP_NUMBER,328238,36.97
Qualcomm,887871,TGPV_VERSION,704648,79.36
Qualcomm,887871,Standard,117750,13.26
Qualcomm,887871,Patent_Type,6,0
Qualcomm,887871,Gen_2G,328309,36.98
Qualcomm,887871,Gen_3G,328309,36.98
Qualcomm,887871,Gen_4G,328309,36.98
Qualcomm,887871,Gen_5G,328309,36.98
Qualcomm,887871,Ess_To_Standard,117750,13.26
Qualcomm,887871,Ess_To_Project,10428,1.17
Qualcomm,887871,PBPA_TITLEEN,293206,33.02
Qualcomm,887871,PBPA_PRIORITY_NUMBERS,51688,5.82
Qualcomm,887871,Illustrative_Part,887750,99.99
Qualcomm,887871,Explicitely_Disclosed,6,0
Qualcomm,887871,Normalized_Patent,0,0
Qualcomm,887871,__src_rownum,0,0
Samsung,173352,IPRD_ID,0,0
Samsung,173352,DECL_IS_PROP_FLAG,0,0
Samsung,173352,LICD_REC_CONDI_FLAG,32156,18.55
Samsung,173352,DIPG_ID,0,0
Samsung,173352,DIPG_PATF_ID,3853,2.22
Samsung,173352,PUBL_NUMBER,17759,10.24
Samsung,173352,PATT_APPLICATION_NUMBER,281,0.16
Samsung,173352,COMP_LEGAL_NAME,0,0
Samsung,173352,company_key,0,0
Samsung,173352,Country_Of_Registration,27,0.02
Samsung,173352,country_key,27,0.02
Samsung,173352,IPRD_SIGNATURE_DATE,0,0
Samsung,173352,Reflected_Date,0,0
Samsung,173352,PBPA_APP_DATE,3312,1.91
Samsung,173352,TGPP_NUMBER,18574,10.71
Samsung,173352,TGPV_VERSION,122489,70.66
Samsung,173352,Standard,3,0
Samsung,173352,Patent_Type,1,0
Samsung,173352,Gen_2G,18814,10.85
Samsung,173352,Gen_3G,18814,10.85
Samsung,173352,Gen_4G,18814,10.85
Samsung,173352,Gen_5G,18814,10.85
Samsung,173352,Ess_To_Standard,3,0
Samsung,173352,Ess_To_Project,186,0.11
Samsung,173352,PBPA_TITLEEN,26219,15.12
Samsung,173352,PBPA_PRIORITY_NUMBERS,3322,1.92
Samsung,173352,Illustrative_Part,168939,97.45
Samsung,173352,Explicitely_Disclosed,1,0
Samsung,173352,Normalized_Patent,0,0
Samsung,173352,__src_rownum,0,0
Sharp,182311,IPRD_ID,0,0
Sharp,182311,DECL_IS_PROP_FLAG,0,0
Sharp,182311,LICD_REC_CONDI_FLAG,0,0
Sharp,182311,DIPG_ID,0,0
Sharp,182311,DIPG_PATF_ID,32926,18.06
Sharp,182311,PUBL_NUMBER,42005,23.04
Sharp,182311,PATT_APPLICATION_NUMBER,37,0.02
Sharp,182311,COMP_LEGAL_NAME,0,0
Sharp,182311,company_key,0,0
Sharp,182311,Country_Of_Registration,41,0.02
Sharp,182311,country_key,41,0.02
Sharp,182311,IPRD_SIGNATURE_DATE,0,0
Sharp,182311,Reflected_Date,0,0
Sharp,182311,PBPA_APP_DATE,26435,14.5
Sharp,182311,TGPP_NUMBER,138,0.08
Sharp,182311,TGPV_VERSION,139974,76.78
Sharp,182311,Standard,37,0.02
Sharp,182311,Patent_Type,37,0.02
Sharp,182311,Gen_2G,138,0.08
Sharp,182311,Gen_3G,138,0.08
Sharp,182311,Gen_4G,138,0.08
Sharp,182311,Gen_5G,138,0.08
Sharp,182311,Ess_To_Standard,37,0.02
Sharp,182311,Ess_To_Project,3481,1.91
Sharp,182311,PBPA_TITLEEN,48099,26.38
Sharp,182311,PBPA_PRIORITY_NUMBERS,26473,14.52
Sharp,182311,Illustrative_Part,152709,83.76
Sharp,182311,Explicitely_Disclosed,37,0.02
Sharp,182311,Normalized_Patent,0,0
Sharp,182311,__src_rownum,0,0
Toyota,1232,IPRD_ID,0,0
Toyota,1232,DECL_IS_PROP_FLAG,0,0
Toyota,1232,LICD_REC_CONDI_FLAG,12,0.97
Toyota,1232,DIPG_ID,0,0
Toyota,1232,DIPG_PATF_ID,0,0
Toyota,1232,PUBL_NUMBER,46,3.73
Toyota,1232,PATT_APPLICATION_NUMBER,0,0
Toyota,1232,COMP_LEGAL_NAME,0,0
Toyota,1232,company_key,0,0
Toyota,1232,Country_Of_Registration,0,0
Toyota,1232,country_key,0,0
Toyota,1232,IPRD_SIGNATURE_DATE,0,0
Toyota,1232,Reflected_Date,0,0
Toyota,1232,PBPA_APP_DATE,0,0
Toyota,1232,TGPP_NUMBER,0,0
Toyota,1232,TGPV_VERSION,3,0.24
Toyota,1232,Standard,0,0
Toyota,1232,Patent_Type,0,0
Toyota,1232,Gen_2G,0,0
Toyota,1232,Gen_3G,0,0
Toyota,1232,Gen_4G,0,0
Toyota,1232,Gen_5G,0,0
Toyota,1232,Ess_To_Standard,0,0
Toyota,1232,Ess_To_Project,12,0.97
Toyota,1232,PBPA_TITLEEN,241,19.56
Toyota,1232,PBPA_PRIORITY_NUMBERS,0,0
Toyota,1232,Illustrative_Part,12,0.97
Toyota,1232,Explicitely_Disclosed,0,0
Toyota,1232,Normalized_Patent,0,0
Toyota,1232,__src_rownum,0,0
Xiaomi,27734,IPRD_ID,0,0
Xiaomi,27734,DECL_IS_PROP_FLAG,0,0
Xiaomi,27734,LICD_REC_CONDI_FLAG,0,0
Xiaomi,27734,DIPG_ID,0,0
Xiaomi,27734,DIPG_PATF_ID,2219,8
Xiaomi,27734,PUBL_NUMBER,2251,8.12
Xiaomi,27734,PATT_APPLICATION_NUMBER,0,0
Xiaomi,27734,COMP_LEGAL_NAME,0,0
Xiaomi,27734,company_key,0,0
Xiaomi,27734,Country_Of_Registration,7,0.03
Xiaomi,27734,country_key,7,0.03
Xiaomi,27734,IPRD_SIGNATURE_DATE,0,0
Xiaomi,27734,Reflected_Date,0,0
Xiaomi,27734,PBPA_APP_DATE,1783,6.43
Xiaomi,27734,TGPP_NUMBER,0,0
Xiaomi,27734,TGPV_VERSION,27734,100
Xiaomi,27734,Standard,0,0
Xiaomi,27734,Patent_Type,0,0
Xiaomi,27734,Gen_2G,0,0
Xiaomi,27734,Gen_3G,0,0
Xiaomi,27734,Gen_4G,0,0
Xiaomi,27734,Gen_5G,0,0
Xiaomi,27734,Ess_To_Standard,0,0
Xiaomi,27734,Ess_To_Project,10,0.04
Xiaomi,27734,PBPA_TITLEEN,4400,15.87
Xiaomi,27734,PBPA_PRIORITY_NUMBERS,1783,6.43
Xiaomi,27734,Illustrative_Part,27734,100
Xiaomi,27734,Explicitely_Disclosed,0,0
Xiaomi,27734,Normalized_Patent,0,0
Xiaomi,27734,__src_rownum,0,0
ZTE,109452,IPRD_ID,0,0
ZTE,109452,DECL_IS_PROP_FLAG,0,0
ZTE,109452,LICD_REC_CONDI_FLAG,0,0
ZTE,109452,DIPG_ID,0,0
ZTE,109452,DIPG_PATF_ID,1345,1.23
ZTE,109452,PUBL_NUMBER,5814,5.31
ZTE,109452,PATT_APPLICATION_NUMBER,4,0
ZTE,109452,COMP_LEGAL_NAME,0,0
ZTE,109452,company_key,0,0
ZTE,109452,Country_Of_Registration,4,0
ZTE,109452,country_key,4,0
ZTE,109452,IPRD_SIGNATURE_DATE,0,0
ZTE,109452,Reflected_Date,0,0
ZTE,109452,PBPA_APP_DATE,355,0.32
ZTE,109452,TGPP_NUMBER,1727,1.58
ZTE,109452,TGPV_VERSION,97441,89.03
ZTE,109452,Standard,872,0.8
ZTE,109452,Patent_Type,4,0
ZTE,109452,Gen_2G,1733,1.58
ZTE,109452,Gen_3G,1733,1.58
ZTE,109452,Gen_4G,1733,1.58
ZTE,109452,Gen_5G,1733,1.58
ZTE,109452,Ess_To_Standard,872,0.8
ZTE,109452,Ess_To_Project,1817,1.66
ZTE,109452,PBPA_TITLEEN,16178,14.78
ZTE,109452,PBPA_PRIORITY_NUMBERS,355,0.32
ZTE,109452,Illustrative_Part,109452,100
ZTE,109452,Explicitely_Disclosed,4,0
ZTE,109452,Normalized_Patent,0,0
ZTE,109452,__src_rownum,0,0
